UserId,Lpid
152,1077
183,1077
249,1077
253,1077
264,1077
269,1077
286,1077
301,1077
338,1077
359,1077
378,1077
410,1077
436,1077
437,1077
484,1077
70,1078
77,1078
81,1078
82,1078
198,1078
242,1078
243,1078
318,1078
322,1078
325,1078
394,1078
398,1078
489,1078
490,1078
491,1078
492,1078
494,1078
495,1078
496,1078
497,1078
498,1078
499,1078
500,1078
501,1078
502,1078
503,1078
505,1078
506,1078
507,1078
508,1078
509,1078
510,1078
511,1078
512,1078
513,1078
514,1078
515,1078
516,1078
520,1078
521,1078
522,1078
523,1078
525,1078
526,1078
528,1078
529,1078
530,1078
531,1078
533,1078
534,1078
535,1078
536,1078
537,1078
538,1078
539,1078
540,1078
541,1078
542,1078
543,1078
544,1078
545,1078
546,1078
548,1078
550,1078
551,1078
552,1078
554,1078
557,1078
558,1078
559,1078
561,1078
563,1078
564,1078
566,1078
567,1078
568,1078
569,1078
570,1078
571,1078
572,1078
574,1078
575,1078
577,1078
578,1078
579,1078
580,1078
581,1078
582,1078
583,1078
584,1078
585,1078
587,1078
592,1078
593,1078
599,1078
600,1078
601,1078
602,1078
603,1078
604,1078
605,1078
606,1078
607,1078
608,1078
609,1078
610,1078
611,1078
612,1078
613,1078
614,1078
615,1078
616,1078
617,1078
618,1078
619,1078
620,1078
621,1078
622,1078
623,1078
624,1078
626,1078
628,1078
629,1078
630,1078
631,1078
632,1078
633,1078
634,1078
635,1078
636,1078
637,1078
638,1078
640,1078
641,1078
642,1078
644,1078
645,1078
646,1078
647,1078
648,1078
649,1078
650,1078
651,1078
652,1078
653,1078
654,1078
655,1078
656,1078
657,1078
658,1078
659,1078
660,1078
661,1078
662,1078
663,1078
664,1078
665,1078
666,1078
667,1078
668,1078
669,1078
670,1078
671,1078
672,1078
673,1078
674,1078
675,1078
676,1078
677,1078
678,1078
679,1078
680,1078
681,1078
682,1078
683,1078
684,1078
685,1078
686,1078
687,1078
688,1078
689,1078
690,1078
691,1078
692,1078
693,1078
694,1078
695,1078
696,1078
697,1078
698,1078
699,1078
700,1078
701,1078
703,1078
704,1078
705,1078
706,1078
710,1078
712,1078
713,1078
714,1078
716,1078
717,1078
719,1078
725,1078
47,1079
52,1079
78,1079
96,1079
100,1079
101,1079
111,1079
132,1079
155,1079
159,1079
162,1079
168,1079
169,1079
173,1079
185,1079
186,1079
202,1079
218,1079
219,1079
221,1079
225,1079
227,1079
241,1079
250,1079
252,1079
256,1079
257,1079
258,1079
272,1079
274,1079
278,1079
280,1079
289,1079
306,1079
308,1079
331,1079
332,1079
333,1079
344,1079
345,1079
346,1079
353,1079
354,1079
355,1079
372,1079
375,1079
402,1079
23,1080
27,1080
29,1080
41,1080
55,1080
79,1080
117,1080
172,1080
190,1080
302,1080
317,1080
318,1080
329,1080
343,1080
344,1080
345,1080
351,1080
353,1080
355,1080
380,1080
386,1080
425,1080
43,1092
339,1092
349,1092
31,1093
151,1093
301,1093
380,1093
414,1093
416,1093
425,1093
219,1094
266,1094
274,1094
428,1094
429,1094
430,1094
450,1094
460,1094
471,1094
487,1094
488,1094
532,1094
545,1094
562,1094
598,1094
700,1094
702,1094
708,1094
723,1094
725,1094
42,1095
180,1095
347,1095
390,1095
397,1095
423,1095
444,1095
461,1095
474,1095
478,1095
488,1095
532,1095
549,1095
555,1095
707,1095
721,1095
15,1096
35,1096
52,1096
112,1096
113,1096
397,1096
413,1096
532,1096
555,1096
565,1096
598,1096
702,1096
58,1097
113,1097
341,1097
428,1097
488,1097
532,1097
555,1097
2,1098
10,1098
21,1098
24,1098
34,1098
37,1098
51,1098
59,1098
64,1098
72,1098
74,1098
107,1098
122,1098
125,1098
127,1098
130,1098
131,1098
136,1098
142,1098
154,1098
163,1098
166,1098
177,1098
181,1098
182,1098
193,1098
210,1098
211,1098
214,1098
229,1098
230,1098
234,1098
235,1098
236,1098
237,1098
238,1098
239,1098
240,1098
246,1098
251,1098
254,1098
255,1098
260,1098
283,1098
284,1098
290,1098
292,1098
293,1098
294,1098
295,1098
296,1098
298,1098
299,1098
300,1098
309,1098
314,1098
334,1098
335,1098
336,1098
337,1098
371,1098
442,1098
504,1099
519,1100
525,1100
527,1100
530,1100
534,1100
545,1100
546,1100
565,1100
566,1100
575,1100
711,1100
718,1100
720,1100
725,1100
310,1101
426,1101
488,1101
493,1101
517,1101
518,1101
519,1101
520,1101
521,1101
522,1101
523,1101
524,1101
525,1101
527,1101
528,1101
530,1101
531,1101
533,1101
534,1101
538,1101
545,1101
546,1101
547,1101
553,1101
556,1101
560,1101
561,1101
565,1101
568,1101
573,1101
575,1101
576,1101
617,1101
625,1101
627,1101
643,1101
690,1101
692,1101
693,1101
694,1101
696,1101
697,1101
698,1101
699,1101
703,1101
704,1101
705,1101
710,1101
711,1101
712,1101
713,1101
714,1101
725,1101
27,1102
28,1102
85,1102
90,1102
215,1102
312,1102
365,1102
368,1102
369,1102
376,1102
383,1102
401,1102
453,1102
454,1102
482,1102
5,1103
6,1103
7,1103
8,1103
14,1103
17,1103
26,1103
39,1103
50,1103
56,1103
60,1103
110,1103
143,1103
146,1103
147,1103
192,1103
199,1103
321,1103
365,1103
368,1103
369,1103
376,1103
379,1103
381,1103
382,1103
403,1103
404,1103
410,1103
420,1103
422,1103
455,1103
456,1103
483,1103
5,1104
19,1104
28,1104
33,1104
38,1104
39,1104
126,1104
129,1104
312,1104
321,1104
357,1104
363,1104
365,1104
369,1104
376,1104
415,1104
457,1104
16,1105
44,1105
73,1105
324,1105
360,1105
370,1105
447,1105
473,1105
54,1106
70,1106
282,1106
384,1106
385,1106
431,1106
364,1107
367,1107
405,1107
412,1107
25,1108
31,1108
68,1108
71,1108
262,1108
263,1108
268,1108
322,1108
4,1109
18,1109
91,1109
93,1109
112,1109
144,1109
150,1109
151,1109
207,1109
261,1109
275,1109
285,1109
291,1109
378,1109
395,1109
407,1109
414,1109
416,1109
419,1109
440,1109
334,1110
387,1110
393,1110
428,1110
26,1111
27,1111
53,1111
62,1111
231,1111
232,1111
233,1111
247,1111
326,1111
427,1111
429,1111
430,1111
442,1111
448,1111
458,1111
15,1112
17,1112
35,1112
38,1112
55,1112
57,1112
59,1112
62,1112
68,1112
81,1112
